Date,Team 1,Team 2,Winner,Result,Venue
2010-10-12,Karnataka,Goa,Karnataka,Karnataka won by 8 wickets,Hyderabad
2010-10-13,Andhra,Hyderabad,Andhra,Andhra won by 4 wickets,Hyderabad
2010-10-13,Kerala,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 5 wickets,Hyderabad
2010-10-13,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 6 wickets,Hyderabad
2010-10-14,Andhra,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 7 wickets,Hyderabad
2010-10-14,Goa,Kerala,Kerala,Kerala won by 8 wickets,Hyderabad
2010-10-14,Hyderabad,Karnataka,Karnataka,Karnataka won by 5 wickets,Hyderabad
2010-10-09,Baroda,Gujarat,Baroda,Baroda won by 7 wickets,Vadodara
2010-10-09,Maharashtra,Saurashtra,Maharashtra,Maharashtra won by 6 wickets,Vadodara
2010-10-10,Baroda,Maharashtra,Baroda,Baroda won by 5 wickets,Vadodara
2010-10-10,Gujarat,Saurashtra,Gujarat,Gujarat won by 6 wickets,Vadodara
2010-10-11,Gujarat,Maharashtra,Maharashtra,Maharashtra won by 7 wickets,Vadodara
2010-10-11,Baroda,Saurashtra,Baroda,Baroda won by 8 wickets,Vadodara
2010-10-16,Bengal,Railways,Bengal,Bengal won by 2 runs,Indore
2010-10-16,Jharkhand,Madhya Pradesh,Jharkhand,Jharkhand won by 6 wickets,Indore
2010-10-16,Punjab,Karnataka,Punjab,Punjab won by 5 wickets,Indore
2010-10-16,Delhi,Tamil Nadu,Delhi,Delhi won by 8 wickets,Indore
2010-10-16,Baroda,Andhra,Baroda,Baroda won by 7 wickets,Indore
2010-10-16,Maharashtra,Hyderabad,Maharashtra,Maharashtra won by 6 wickets,Indore
2010-10-17,Bengal,Punjab,Bengal,Bengal won by 5 runs,Indore
2010-10-17,Jharkhand,Delhi,Jharkhand,Jharkhand won by 7 wickets,Indore
2010-10-17,Railways,Karnataka,Karnataka,Karnataka won by 6 wickets,Indore
2010-10-17,Madhya Pradesh,Tamil Nadu,Madhya Pradesh,Madhya Pradesh won by 5 wickets,Indore
2010-10-17,Baroda,Hyderabad,Baroda,Baroda won by 8 wickets,Indore
2010-10-17,Maharashtra,Andhra,Maharashtra,Maharashtra won by 7 wickets,Indore
2010-10-19,Bengal,Delhi,Bengal,Bengal won by 6 wickets,Indore
2010-10-19,Jharkhand,Punjab,Jharkhand,Jharkhand won by 5 wickets,Indore
2010-10-19,Railways,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Indore
2010-10-19,Madhya Pradesh,Karnataka,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Indore
2010-10-19,Baroda,Maharashtra,Baroda,Baroda won by 6 wickets,Indore
2010-10-19,Andhra,Hyderabad,Andhra,Andhra won by 5 wickets,Indore
2010-10-20,Bengal,Jharkhand,Bengal,Bengal won by 1 run,Indore
2012-03-20,Bengal,Jharkhand,Bengal,Bengal won by 7 wickets,Kolkata
2012-03-20,Odisha,Tripura,Odisha,Odisha won by 7 wickets,Kolkata
2012-03-21,Assam,Tripura,Assam,Assam won by 6 wickets,Kolkata
2012-03-21,Bengal,Odisha,Bengal,Bengal won by 20 runs,Kolkata
2012-03-22,Assam,Odisha,Assam,Assam won by 2 wickets,Kolkata
2012-03-22,Jharkhand,Tripura,Jharkhand,Jharkhand won by 5 wickets,Kolkata
2012-03-23,Bengal,Assam,Bengal,Bengal won by 6 wickets,Kolkata
2012-03-23,Jharkhand,Odisha,Jharkhand,Jharkhand won by 7 wickets,Kolkata
2012-03-24,Assam,Jharkhand,Jharkhand,Jharkhand won by 4 wickets,Kolkata
2012-03-24,Bengal,Tripura,Bengal,Bengal won by 8 wickets,Kolkata
2012-03-20,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Nagpur
2012-03-20,Railways,Rajasthan,Railways,Railways won by 5 wickets,Nagpur
2012-03-21,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Nagpur
2012-03-21,Rajasthan,Vidarbha,Vidarbha,Vidarbha won by 8 wickets,Nagpur
2012-03-22,Madhya Pradesh,Rajasthan,Madhya Pradesh,Madhya Pradesh won by 8 wickets,Nagpur
2012-03-22,Railways,Vidarbha,Vidarbha,Vidarbha won by 6 wickets,Nagpur
2012-03-20,Delhi,Punjab,Punjab,Punjab won by 5 wickets,Mohali
2012-03-20,Haryana,Services,Haryana,Haryana won by 20 runs,Mohali
2012-03-21,Delhi,Services,Delhi,Delhi won by 7 wickets,Mohali
2012-03-21,Himachal Pradesh,Punjab,Punjab,Punjab won by 6 wickets,Mohali
2012-03-22,Haryana,Himachal Pradesh,Haryana,Haryana won by 6 wickets,Mohali
2012-03-22,Jammu & Kashmir,Services,Services,Services won by 5 wickets,Mohali
2012-03-23,Delhi,Jammu & Kashmir,Delhi,Delhi won by 8 wickets,Mohali
2012-03-23,Haryana,Punjab,Punjab,Punjab won by 7 wickets,Mohali
2012-03-24,Delhi,Haryana,Delhi,Delhi won by 5 wickets,Mohali
2012-03-24,Himachal Pradesh,Jammu & Kashmir,Himachal Pradesh,Himachal Pradesh won by 6 wickets,Mohali
2012-03-24,Punjab,Services,Punjab,Punjab won by 8 wickets,Mohali
2012-03-20,Andhra,Goa,Andhra,Andhra won by 7 wickets,Bangalore
2012-03-20,Karnataka,Kerala,Karnataka,Karnataka won by 6 wickets,Bangalore
2012-03-20,Hyderabad,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 5 wickets,Bangalore
2012-03-21,Goa,Kerala,Kerala,Kerala won by 6 wickets,Bangalore
2012-03-21,Andhra,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 7 wickets,Bangalore
2012-03-21,Hyderabad,Karnataka,Karnataka,Karnataka won by 8 wickets,Bangalore
2012-03-22,Andhra,Hyderabad,Andhra,Andhra won by 6 wickets,Bangalore
2012-03-22,Goa,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Bangalore
2012-03-22,Karnataka,Kerala,Karnataka,Karnataka won by 7 wickets,Bangalore
2012-03-23,Andhra,Kerala,Andhra,Andhra won by 6 wickets,Bangalore
2012-03-23,Goa,Karnataka,Karnataka,Karnataka won by 8 wickets,Bangalore
2012-03-23,Hyderabad,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 7 wickets,Bangalore
2012-03-24,Andhra,Karnataka,Karnataka,Karnataka won by 6 wickets,Bangalore
2012-03-24,Goa,Hyderabad,Hyderabad,Hyderabad won by 8 wickets,Bangalore
2012-03-24,Kerala,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 7 wickets,Bangalore
2012-03-20,Baroda,Gujarat,Baroda,Baroda won by 6 wickets,Mumbai
2012-03-20,Maharashtra,Saurashtra,Maharashtra,Maharashtra won by 7 wickets,Mumbai
2012-03-21,Baroda,Saurashtra,Baroda,Baroda won by 8 wickets,Mumbai
2012-03-21,Gujarat,Maharashtra,Maharashtra,Maharashtra won by 6 wickets,Mumbai
2012-03-22,Baroda,Maharashtra,Baroda,Baroda won by 7 wickets,Mumbai
2012-03-22,Gujarat,Saurashtra,Gujarat,Gujarat won by 6 wickets,Mumbai
2012-03-25,Jharkhand,Vidarbha,Jharkhand,Jharkhand won by 5 wickets,Mumbai
2012-03-25,Madhya Pradesh,Bengal,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Mumbai
2012-03-25,Maharashtra,Tamil Nadu,Maharashtra,Maharashtra won by 7 wickets,Mumbai
2012-03-25,Baroda,Karnataka,Baroda,Baroda won by 6 wickets,Mumbai
2012-03-25,Punjab,Delhi,Punjab,Punjab won by 7 wickets,Mumbai
2012-03-26,Delhi,Karnataka,Delhi,Delhi won by 6 wickets,Mumbai
2012-03-26,Jharkhand,Maharashtra,Maharashtra,Maharashtra won by 7 wickets,Mumbai
2012-03-26,Madhya Pradesh,Baroda,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Mumbai
2012-03-26,Punjab,Tamil Nadu,Punjab,Punjab won by 7 wickets,Mumbai
2012-03-26,Vidarbha,Bengal,Vidarbha,Vidarbha won by 6 wickets,Mumbai
2012-03-27,Baroda,Delhi,Baroda,Baroda won by 7 wickets,Mumbai
2012-03-27,Bengal,Maharashtra,Bengal,Bengal won by 6 wickets,Mumbai
2012-03-27,Jharkhand,Punjab,Punjab,Punjab won by 8 wickets,Mumbai
2012-03-27,Karnataka,Vidarbha,Karnataka,Karnataka won by 7 wickets,Mumbai
2012-03-27,Madhya Pradesh,Tamil Nadu,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Mumbai
2012-03-28,Baroda,Punjab,Punjab,Punjab won by 50 runs,Mumbai
2012-03-28,Delhi,Maharashtra,Delhi,Delhi won by 8 wickets,Mumbai
2012-03-28,Jharkhand,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Mumbai
2012-03-28,Karnataka,Bengal,Karnataka,Karnataka won by 6 wickets,Mumbai
2012-03-28,Tamil Nadu,Vidarbha,Tamil Nadu,Tamil Nadu won by 7 wickets,Mumbai
2012-03-29,Punjab,Baroda,Punjab,Punjab won by 3 wickets (Super Over),Mumbai
2013-03-17,Baroda,Saurashtra,Baroda,Baroda won by 4 runs,Indore
2013-03-17,Gujarat,Maharashtra,Gujarat,Gujarat won by 6 wickets,Indore
2013-03-18,Baroda,Gujarat,Gujarat,Gujarat won by 7 wickets,Indore
2013-03-18,Maharashtra,Saurashtra,Maharashtra,Maharashtra won by 4 wickets,Indore
2013-03-19,Baroda,Maharashtra,Maharashtra,Maharashtra won by 7 wickets,Indore
2013-03-19,Gujarat,Saurashtra,Gujarat,Gujarat won by 20 runs,Indore
2013-03-17,Bengal,Tripura,Bengal,Bengal won by 26 runs,Jamshedpur
2013-03-17,Jharkhand,Odisha,Jharkhand,Jharkhand won by 1 run,Jamshedpur
2013-03-18,Assam,Tripura,Assam,Assam won by 35 runs,Jamshedpur
2013-03-18,Bengal,Odisha,Bengal,Bengal won by 2 wickets,Jamshedpur
2013-03-19,Assam,Odisha,Assam,Assam won by 6 wickets,Jamshedpur
2013-03-19,Jharkhand,Tripura,Jharkhand,Jharkhand won by 5 wickets,Jamshedpur
2013-03-20,Assam,Jharkhand,Jharkhand,Jharkhand won by 7 wickets,Jamshedpur
2013-03-20,Bengal,Odisha,Bengal,Bengal won by 4 runs,Jamshedpur
2013-03-21,Assam,Bengal,Bengal,Bengal won by 7 wickets,Jamshedpur
2013-03-21,Jharkhand,Odisha,Odisha,Odisha won by 2 wickets,Jamshedpur
2013-03-17,Andhra,Goa,Andhra,Andhra won by 6 wickets,Shimoga
2013-03-17,Hyderabad,Karnataka,Karnataka,Karnataka won by 6 wickets,Shimoga
2013-03-17,Kerala,Tamil Nadu,Kerala,Kerala won by 1 run,Shimoga
2013-03-18,Andhra,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 5 wickets,Shimoga
2013-03-18,Goa,Karnataka,Karnataka,Karnataka won by 8 wickets,Shimoga
2013-03-18,Hyderabad,Kerala,Kerala,Kerala won by 6 wickets,Shimoga
2013-03-19,Andhra,Karnataka,Karnataka,Karnataka won by 7 wickets,Shimoga
2013-03-19,Goa,Kerala,Kerala,Kerala won by 8 wickets,Shimoga
2013-03-19,Hyderabad,Tamil Nadu,Hyderabad,Hyderabad won by 6 wickets,Shimoga
2013-03-21,Andhra,Hyderabad,Hyderabad,Hyderabad won by 5 wickets,Shimoga
2013-03-21,Goa,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Shimoga
2013-03-21,Karnataka,Kerala,Karnataka,Karnataka won by 7 wickets,Shimoga
2013-03-22,Andhra,Kerala,Kerala,Kerala won by 6 wickets,Shimoga
2013-03-22,Goa,Hyderabad,Hyderabad,Hyderabad won by 8 wickets,Shimoga
2013-03-22,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 7 wickets,Shimoga
2013-03-17,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Gwalior
2013-03-17,Railways,Rajasthan,Railways,Railways won by 5 wickets,Gwalior
2013-03-18,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Gwalior
2013-03-18,Rajasthan,Vidarbha,Vidarbha,Vidarbha won by 6 wickets,Gwalior
2013-03-19,Madhya Pradesh,Rajasthan,Madhya Pradesh,Madhya Pradesh won by 8 wickets,Gwalior
2013-03-19,Railways,Vidarbha,Railways,Railways won by 5 wickets,Gwalior
2013-03-17,Delhi,Punjab,Punjab,Punjab won by 6 wickets,Nadaun
2013-03-17,Haryana,Services,Haryana,Haryana won by 5 wickets,Nadaun
2013-03-17,Himachal Pradesh,Jammu & Kashmir,Himachal Pradesh,Himachal Pradesh won by 7 wickets,Nadaun
2013-03-18,Delhi,Jammu & Kashmir,Delhi,Delhi won by 8 wickets,Nadaun
2013-03-18,Haryana,Himachal Pradesh,Haryana,Haryana won by 6 wickets,Nadaun
2013-03-18,Punjab,Services,Punjab,Punjab won by 7 wickets,Nadaun
2013-03-19,Delhi,Services,Delhi,Delhi won by 8 wickets,Nadaun
2013-03-19,Haryana,Jammu & Kashmir,Haryana,Haryana won by 6 wickets,Nadaun
2013-03-19,Himachal Pradesh,Punjab,Punjab,Punjab won by 7 wickets,Nadaun
2013-03-21,Delhi,Haryana,Delhi,Delhi won by 6 wickets,Nadaun
2013-03-21,Himachal Pradesh,Services,Himachal Pradesh,Himachal Pradesh won by 8 wickets,Nadaun
2013-03-21,Jammu & Kashmir,Punjab,Punjab,Punjab won by 7 wickets,Nadaun
2013-03-22,Delhi,Himachal Pradesh,Delhi,Delhi won by 6 wickets,Nadaun
2013-03-22,Haryana,Punjab,Punjab,Punjab won by 7 wickets,Nadaun
2013-03-22,Jammu & Kashmir,Services,Services,Services won by 6 wickets,Nadaun
2013-03-24,Gujarat,Maharashtra,Gujarat,Gujarat won by 6 wickets,Ranchi
2013-03-24,Bengal,Jharkhand,Bengal,Bengal won by 5 wickets,Ranchi
2013-03-24,Kerala,Karnataka,Kerala,Kerala won by 20 runs,Ranchi
2013-03-24,Railways,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Ranchi
2013-03-24,Delhi,Punjab,Punjab,Punjab won by 6 wickets,Ranchi
2013-03-25,Gujarat,Jharkhand,Gujarat,Gujarat won by 7 wickets,Ranchi
2013-03-25,Bengal,Maharashtra,Bengal,Bengal won by 6 wickets,Ranchi
2013-03-25,Kerala,Madhya Pradesh,Kerala,Kerala won by 5 wickets,Ranchi
2013-03-25,Railways,Karnataka,Karnataka,Karnataka won by 7 wickets,Ranchi
2013-03-25,Delhi,Haryana,Delhi,Delhi won by 6 wickets,Ranchi
2013-03-26,Gujarat,Bengal,Gujarat,Gujarat won by 7 wickets,Ranchi
2013-03-26,Jharkhand,Maharashtra,Maharashtra,Maharashtra won by 6 wickets,Ranchi
2013-03-26,Kerala,Railways,Kerala,Kerala won by 5 wickets,Ranchi
2013-03-26,Madhya Pradesh,Karnataka,Karnataka,Karnataka won by 7 wickets,Ranchi
2013-03-26,Punjab,Haryana,Punjab,Punjab won by 6 wickets,Ranchi
2013-03-28,Gujarat,Kerala,Gujarat,Gujarat won by 6 wickets,Ranchi
2013-03-28,Maharashtra,Karnataka,Karnataka,Karnataka won by 5 wickets,Ranchi
2013-03-28,Punjab,Delhi,Punjab,Punjab won by 6 wickets,Ranchi
2013-03-29,Gujarat,Karnataka,Gujarat,Gujarat won by 5 wickets,Ranchi
2013-03-29,Kerala,Punjab,Punjab,Punjab won by 6 wickets,Ranchi
2013-03-29,Delhi,Maharashtra,Delhi,Delhi won by 5 wickets,Ranchi
2013-03-30,Gujarat,Delhi,Gujarat,Gujarat won by 6 wickets,Ranchi
2013-03-30,Karnataka,Punjab,Punjab,Punjab won by 5 wickets,Ranchi
2013-03-30,Kerala,Maharashtra,Kerala,Kerala won by 2 runs,Ranchi
2013-03-31,Gujarat,Punjab,Gujarat,Gujarat won by 4 wickets,Ranchi
2014-04-01,Assam,Tripura,Assam,Assam won by 6 wickets,Kolkata
2014-04-01,Bengal,Odisha,Bengal,Bengal won by 7 wickets,Kolkata
2014-04-02,Assam,Odisha,Odisha,Odisha won by 5 wickets,Kolkata
2014-04-02,Jharkhand,Tripura,Jharkhand,Jharkhand won by 8 wickets,Kolkata
2014-04-03,Bengal,Jharkhand,Bengal,Bengal won by 6 wickets,Kolkata
2014-04-03,Odisha,Tripura,Odisha,Odisha won by 7 wickets,Kolkata
2014-04-04,Assam,Bengal,Bengal,Bengal won by 8 wickets,Kolkata
2014-04-04,Jharkhand,Odisha,Jharkhand,Jharkhand won by 6 wickets,Kolkata
2014-04-05,Bengal,Tripura,Bengal,Bengal won by 9 wickets,Kolkata
2014-04-05,Assam,Jharkhand,Assam,Assam won by 5 wickets,Kolkata
2014-04-01,Goa,Kerala,Kerala,Kerala won by 7 wickets,Vizianagaram
2014-04-01,Hyderabad,Tamil Nadu,Hyderabad,Hyderabad won by 6 wickets,Vizianagaram
2014-04-01,Andhra,Karnataka,Karnataka,Karnataka won by 5 wickets,Vizianagaram
2014-04-02,Goa,Hyderabad,Hyderabad,Hyderabad won by 8 wickets,Vizianagaram
2014-04-02,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 7 wickets,Vizianagaram
2014-04-02,Andhra,Kerala,Andhra,Andhra won by 6 wickets,Vizianagaram
2014-04-03,Goa,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Vizianagaram
2014-04-03,Hyderabad,Kerala,Hyderabad,Hyderabad won by 7 wickets,Vizianagaram
2014-04-03,Andhra,Karnataka,Karnataka,Karnataka won by 6 wickets,Vizianagaram
2014-04-05,Andhra,Hyderabad,Andhra,Andhra won by 5 wickets,Vizianagaram
2014-04-05,Goa,Karnataka,Karnataka,Karnataka won by 8 wickets,Vizianagaram
2014-04-05,Kerala,Tamil Nadu,Kerala,Kerala won by 7 wickets,Vizianagaram
2014-04-06,Andhra,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 6 wickets,Vizianagaram
2014-04-06,Goa,Hyderabad,Hyderabad,Hyderabad won by 8 wickets,Vizianagaram
2014-04-06,Karnataka,Kerala,Karnataka,Karnataka won by 7 wickets,Vizianagaram
2014-04-01,Delhi,Services,Delhi,Delhi won by 7 wickets,Delhi
2014-04-01,Haryana,Jammu & Kashmir,Haryana,Haryana won by 6 wickets,Delhi
2014-04-01,Himachal Pradesh,Punjab,Punjab,Punjab won by 8 wickets,Delhi
2014-04-02,Delhi,Jammu & Kashmir,Delhi,Delhi won by 7 wickets,Delhi
2014-04-02,Himachal Pradesh,Services,Himachal Pradesh,Himachal Pradesh won by 6 wickets,Delhi
