Season,Stage,Date,Team 1,Team 2,Winner,Result,Venue
2022-23,Semi-Final,2022-11-03,Himachal,Saurashtra,Saurashtra,Saurashtra won by 5 wickets,Kolkata
2022-23,Semi-Final,2022-11-03,Punjab,Mumbai,Mumbai,Mumbai won by 2 wickets,Kolkata
2022-23,Final,2022-11-05,Mumbai,Himachal,Himachal,HP won by 14 runs,Kolkata
2023-24,Quarter-Final,2023-10-31,Assam,Bengal,Bengal,Bengal won by 8 wickets,Mohali
2023-24,Quarter-Final,2023-10-31,Delhi,Uttar Pradesh,Delhi,Delhi won by 7 wickets,Mohali
2023-24,Quarter-Final,2023-10-31,Gujarat,Mumbai,Mumbai,Mumbai won by 6 wickets,Mohali
2023-24,Quarter-Final,2023-10-31,Kerala,Haryana,Kerala,Kerala won by 5 wickets,Mohali
2023-24,Semi-Final,2023-11-04,Assam,Delhi,Assam,Assam won by 6 wickets,Mohali
2023-24,Semi-Final,2023-11-04,Punjab,Baroda,Punjab,Punjab won by 5 wickets,Mohali
2023-24,Final,2023-11-06,Punjab,Assam,Punjab,Punjab won by 6 wickets,Mohali
2024-25,Semi-Final,2024-11-03,Punjab,Delhi,Punjab,Punjab won by 6 wickets,Kolkata
2024-25,Semi-Final,2024-11-03,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 4 wickets,Kolkata
2024-25,Final,2024-11-05,Punjab,Karnataka,Punjab,Punjab won by 4 wickets,Kolkata
